attractiveness,disclosure,threshold,matches,true_satisfaction
0.564756,0.476321,0.5,11,7
0.950736,0.272221,0.5,17,14
0.547742,0.704806,0.5,9,9
0.559408,0.317577,0.5,11,11
0.454159,0.778956,0.5,5,3
0.542947,0.868795,0.5,3,2
0.755713,0.78249,0.5,13,7
0.5293,0.713193,0.5,4,3
0.690918,0.654251,0.5,13,12
0.716674,0.35478,0.5,14,12
0.308343,0.745493,0.5,1,1
0.648806,0.80182,0.5,14,10
0.730382,0.897606,0.5,19,14
1,0.701917,0.5,38,31
0.362597,0.460659,0.5,4,4
0.718429,0.613841,0.5,13,10
0.516676,0.224225,0.5,8,5
0.549698,0.364194,0.5,7,7
0.454115,0.370502,0.5,10,6
0.765242,0.611266,0.5,10,10
0.717337,0.933802,0.5,13,12
0.817068,0.772042,0.5,21,19
0.709914,0.330329,0.5,8,7
0.69388,0.674003,0.5,9,9
0.836303,0.334091,0.5,11,10
0.484357,0.909948,0.5,4,3
0.425527,0.86219,0.5,2,2
0.562639,0.951601,0.5,7,7
0.672415,0.257045,0.5,6,4
0.4776,0.950097,0.5,5,4
0.296784,0.340425,0.5,5,5
0.446614,0.942449,0.5,2,2
0.614547,0.634068,0.5,14,10
0.69569,0.899112,0.5,13,10
0.642872,0.566222,0.5,15,12
0.678135,0.27729,0.5,17,14
0.496,0.893068,0.5,3,3
0.584543,0.611007,0.5,9,8
0.741484,0.700393,0.5,17,14
0.308942,0.309847,0.5,8,7
0.781202,0.949819,0.5,17,17
0.454002,0.79232,0.5,2,2
0.431646,0.551777,0.5,2,2
0.581556,0.245071,0.5,9,7
0.558557,0.709296,0.5,4,3
0.578488,0.852077,0.5,11,8
0.55438,0.279314,0.5,8,5
0.841642,0.486283,0.5,14,14
0.718759,0.967644,0.5,23,19
0.471801,0.816121,0.5,3,2
1,0.849793,0.5,38,34
0.677411,0.294563,0.5,9,8
0.462996,0.417643,0.5,8,7
0.629801,0.655643,0.5,10,8
0.538282,0.825962,0.5,7,7
0.526104,0.797535,0.5,7,7
0.662189,0.35926,0.5,13,10
0.674073,0.873708,0.5,24,23
0.577847,0.687433,0.5,9,5
0.569931,0.783449,0.5,12,11
0.427292,0.457102,0.5,3,3
0.601178,0.815537,0.5,5,3
0.695429,0.703185,0.5,17,15
0.513959,0.255455,0.5,8,7
0.555384,0.365857,0.5,13,12
0.59982,0.753244,0.5,12,11
0.609196,0.801012,0.5,11,10
0.597963,0.579274,0.5,7,6
0.551472,0.779938,0.5,9,5
0.571842,0.618158,0.5,11,9
0.551706,0.319034,0.5,11,8
0.640661,0.82098,0.5,12,11
0.514331,0.504838,0.5,6,5
0.45765,0.835719,0.5,1,1
0.790182,0.79393,0.5,26,19
0.865111,0.398963,0.5,20,17
0.474483,0.633653,0.5,6,5
0.262035,0.5583,0.5,2,2
0.803768,0.67471,0.5,15,14
0.578294,0.649199,0.5,8,6
0.54424,0.547197,0.5,5,5
0.749598,0.518778,0.5,14,11
0.644243,0.789333,0.5,13,9
0.567154,0.849502,0.5,3,3
0.53045,0.663341,0.5,4,3
0.476082,0.221899,0.5,16,15
0.471276,0.922262,0.5,1,1
0.827681,0.569123,0.5,14,12
0.724876,0.324572,0.5,14,12
0.779348,0.603645,0.5,18,16
0.472548,0.933144,0.5,1,0
0.608619,0.520781,0.5,13,11
0.489594,0.256732,0.5,5,5
0.422335,0.830112,0.5,7,7
0.772229,0.764818,0.5,21,15
0.850986,0.809937,0.5,24,22
0.74951,0.416951,0.5,19,16
0.62578,0.65854,0.5,13,11
0.653088,0.895065,0.5,13,10
0.548518,0.525539,0.5,6,6
0.427197,0.299832,0.5,10,8
0.72568,0.45161,0.5,16,13
0.688388,0.922584,0.5,17,14
0.531299,0.400613,0.5,9,8
0.427376,0.409579,0.5,6,6
0.676609,0.90817,0.5,19,16
0.686221,0.297375,0.5,15,13
0.706225,0.212356,0.5,12,8
0.670199,0.257497,0.5,6,5
0.468874,0.254189,0.5,9,9
0.511065,0.296152,0.5,10,9
0.375824,0.370487,0.5,10,10
0.696379,0.745184,0.5,15,14
0.673159,0.453644,0.5,13,12
0.684813,0.992588,0.5,16,13
0.280368,0.463475,0.5,4,4
0.575142,0.655811,0.5,6,5
0.791026,0.311412,0.5,12,8
0.697799,0.447322,0.5,13,12
0.602159,0.463928,0.5,10,8
0.291977,0.325522,0.5,3,1
0.806818,0.212309,0.5,9,6
0.507013,0.53549,0.5,8,7
0.577602,0.544773,0.5,6,6
0.615776,0.824451,0.5,15,10
0.462901,0.474133,0.5,3,2
0.685126,0.789026,0.5,19,14
0.786436,0.469221,0.5,15,13
0.389276,0.780457,0.5,1,1
0.628145,0.537071,0.5,6,3
0.611956,0.716596,0.5,9,7
0.848925,0.831731,0.5,27,21
0.483392,0.642839,0.5,8,6
0.815225,0.345933,0.5,16,14
0.496729,0.352082,0.5,10,9
0.586238,0.423798,0.5,10,8
0.453087,0.500818,0.5,8,5
0.516801,0.975755,0.5,7,5
0.429333,0.24552,0.5,9,7
0.550688,0.427224,0.5,9,7
0.810182,0.882382,0.5,30,26
0.615156,0.810315,0.5,10,8
0.587339,0.227888,0.5,8,6
0.313812,0.475775,0.5,3,2
0.587886,0.856958,0.5,5,4
0.4499,0.580792,0.5,2,2
0.538317,0.55795,0.5,9,9
0.570706,0.973305,0.5,6,5
0.602352,0.826809,0.5,5,5
0.45325,0.368419,0.5,8,7
0.640361,0.977264,0.5,12,11
0.572533,0.304407,0.5,14,13
0.678389,0.928567,0.5,19,16
0.492617,0.368431,0.5,12,10
0.607563,0.217243,0.5,3,3
0.6825,0.540327,0.5,11,9
0.504548,0.392758,0.5,7,5
0.678421,0.862652,0.5,17,13
0.53144,0.970376,0.5,5,2
0.773214,0.927899,0.5,29,26
0.627155,0.593283,0.5,9,9
0.53533,0.622366,0.5,5,4
0.55327,0.565452,0.5,8,8
0.490094,0.45746,0.5,13,12
0.607433,0.590922,0.5,4,3
0.692968,0.72005,0.5,16,14
0.707247,0.536876,0.5,14,10
0.50496,0.231722,0.5,8,7
0.713285,0.337609,0.5,15,11
0.488221,0.804993,0.5,2,2
0.241481,0.763369,0.5,1,1
0.300322,0.719458,0.5,0,0
0.796043,0.986084,0.5,32,28
0.670721,0.811393,0.5,12,8
0.70554,0.569608,0.5,8,8
0.589787,0.842637,0.5,12,9
0.785509,0.464207,0.5,19,17
0.602248,0.932953,0.5,13,10
0.668714,0.730439,0.5,15,12
0.718593,0.232423,0.5,12,9
0.7344,0.609208,0.5,13,12
0.649911,0.279182,0.5,6,4
0.43611,0.540282,0.5,4,3
0.564488,0.537552,0.5,10,9
0.947467,0.696318,0.5,30,24
0.26592,0.740902,0.5,0,0
0.813681,0.862044,0.5,33,24
0.702962,0.293223,0.5,17,15
0.650848,0.819665,0.5,11,8
0.552701,0.487972,0.5,4,3
0.596323,0.657739,0.5,6,6
0.481734,0.295104,0.5,12,9
0.57362,0.73085,0.5,5,3
0.571495,0.56964,0.5,15,14
0.692829,0.551529,0.5,10,9
0.470474,0.835257,0.5,4,4
0.402164,0.920503,0.5,1,1
0.512875,0.232504,0.5,12,12
0.27588,0.316947,0.5,1,1
0.743898,0.210794,0.5,20,16
0.755269,0.655345,0.5,18,12
0.397838,0.956024,0.5,1,1
0.532767,0.871679,0.5,8,7
0.620331,0.57991,0.5,7,7
0.590154,0.228172,0.5,12,10
0.570761,0.621011,0.5,6,5
0.740163,0.812223,0.5,24,19
0.632187,0.394099,0.5,8,8
0.613114,0.622424,0.5,9,5
0.498084,0.796633,0.5,3,2
0.36566,0.368411,0.5,6,5
0.256967,0.237985,0.5,3,2
0.368543,0.345314,0.5,10,9
0.589949,0.992268,0.5,5,5
0.723744,0.225519,0.5,11,8
0.689382,0.860998,0.5,8,6
0.689094,0.852139,0.5,15,13
0.798356,0.577702,0.5,22,17
0.610818,0.362585,0.5,13,12
0.299416,0.543934,0.5,5,4
0.599064,0.350898,0.5,12,11
0.333659,0.341813,0.5,5,4
0.405336,0.259515,0.5,10,9
0.759794,0.300075,0.5,12,11
0.496703,0.678112,0.5,4,4
0.658115,0.987224,0.5,10,10
0.509463,0.501789,0.5,9,9
0.785443,0.923211,0.5,20,16
0.606514,0.870009,0.5,4,4
0.630639,0.62425,0.5,5,4
0.596188,0.902366,0.5,7,6
0.921521,0.924512,0.5,49,39
0.605353,0.35682,0.5,12,9
0.87778,0.704017,0.5,15,12
0.746865,0.416804,0.5,11,9
0.82118,0.956624,0.5,26,21
0.396983,0.496591,0.5,4,4
0.744344,0.493039,0.5,19,14
0.443698,0.661209,0.5,5,5
0.598441,0.596963,0.5,10,10
0.564217,0.434259,0.5,13,10
0.633167,0.922736,0.5,14,11
0.674454,0.534517,0.5,12,11
0.759694,0.524191,0.5,23,23
0.684012,0.819795,0.5,17,16
0.445732,0.910502,0.5,1,1
0.45906,0.647702,0.5,2,2
0.53646,0.445384,0.5,14,12
0.80867,0.465368,0.5,19,14
0.381216,0.735159,0.5,0,0
0.869399,0.47309,0.5,17,13
0.321329,0.972479,0.5,0,0
0.645698,0.658529,0.5,10,10
0.653289,0.305291,0.5,17,13
0.459736,0.22579,0.5,16,13
0.576533,0.465109,0.5,8,6
0.754301,0.739913,0.5,16,13
0.606555,0.326729,0.5,14,12
0.503639,0.990408,0.5,4,4
0.749006,0.887367,0.5,26,20
0.526099,0.869721,0.5,3,3
0.665716,0.425407,0.5,12,12
0.508248,0.847633,0.5,4,2
0.589157,0.844354,0.5,9,8
0.552421,0.620806,0.5,6,5
0.567257,0.413701,0.5,5,3
0.763525,0.756528,0.5,24,20
0.72205,0.738229,0.5,14,12
0.612345,0.936929,0.5,12,10
0.466495,0.312679,0.5,9,9
1,0.417282,0.5,23,19
0.508715,0.709162,0.5,4,3
0.807415,0.889211,0.5,21,17
0.499648,0.67099,0.5,5,4
0.364481,0.690759,0.5,1,1
0.573426,0.951751,0.5,13,10
0.563041,0.868753,0.5,4,4
0.729663,0.351704,0.5,7,7
0.459389,0.420411,0.5,7,6
0.575315,0.766263,0.5,9,9
0.601973,0.362379,0.5,9,8
0.66874,0.460564,0.5,17,12
0.707033,0.452227,0.5,13,12
0.717016,0.393835,0.5,12,11
0.794581,0.847673,0.5,25,23
1,0.637253,0.5,23,17
0.812254,0.488914,0.5,16,13
0.341692,0.450268,0.5,6,5
0.663395,0.551372,0.5,7,5
0.599642,0.550385,0.5,8,6
0.515842,0.35725,0.5,8,7
0.419099,0.380774,0.5,9,7
0.67043,0.74111,0.5,8,7
0.60466,0.330876,0.5,10,10
0.656349,0.286475,0.5,14,11
0.496218,0.702892,0.5,6,3
0.463035,0.973405,0.5,3,2
0.689066,0.33069,0.5,13,10
0.727437,0.770738,0.5,11,11
0.502963,0.802128,0.5,6,5
0.407365,0.849505,0.5,1,1
0.849909,0.386214,0.5,16,14
0.600539,0.930573,0.5,12,9
0.809773,0.288206,0.5,26,20
0.311238,0.39521,0.5,5,4
0.604848,0.8822,0.5,16,13
0.539214,0.890686,0.5,5,3
0.577461,0.619487,0.5,10,10
0.490992,0.296629,0.5,14,12
0.765771,0.357258,0.5,15,12
0.500193,0.305419,0.5,11,10
0.297776,0.662368,0.5,1,1
0.507039,0.751203,0.5,4,2
0.448878,0.811359,0.5,4,3
0.559921,0.936385,0.5,7,6
0.658639,0.962229,0.5,14,9
0.63726,0.266964,0.5,9,7
0.540952,0.817669,0.5,3,2
0.631173,0.375676,0.5,17,11
0.502303,0.978904,0.5,3,3
0.555769,0.355903,0.5,14,13
0.687643,0.234479,0.5,8,7
0.743993,0.755878,0.5,13,13
0.601251,0.739514,0.5,11,6
0.529632,0.865313,0.5,1,0
0.711078,0.259136,0.5,10,7
0.662969,0.337678,0.5,10,9
0.438673,0.921795,0.5,2,2
0.625327,0.400916,0.5,5,3
0.525712,0.411241,0.5,10,8
0.492664,0.923598,0.5,6,6
0.620488,0.373915,0.5,9,8
0.497002,0.926201,0.5,6,6
0.618136,0.776649,0.5,8,6
0.637888,0.650815,0.5,12,8
0.463965,0.750042,0.5,1,1
0.678695,0.64791,0.5,12,10
0.718339,0.599173,0.5,19,18
0.609498,0.326575,0.5,11,7
0.566705,0.565568,0.5,12,11
0.550628,0.360701,0.5,12,9
0.779249,0.403727,0.5,16,13
0.603638,0.50566,0.5,10,9
0.721922,0.880155,0.5,13,10
0.50465,0.976933,0.5,3,3
0.650028,0.895205,0.5,18,11
0.605386,0.427646,0.5,13,10
0.51665,0.790922,0.5,7,6
0.587576,0.309057,0.5,13,10
0.528512,0.718619,0.5,8,7
0.638938,0.40406,0.5,12,11
0.526049,0.394221,0.5,9,9
0.695168,0.523647,0.5,12,10
0.506194,0.249205,0.5,8,6
0.75079,0.868865,0.5,23,17
0.771265,0.717154,0.5,22,20
0.410802,0.934747,0.5,2,2
0.435793,0.24317,0.5,12,9
0.557596,0.896161,0.5,6,5
0.710451,0.472452,0.5,19,13
0.778125,0.567496,0.5,16,12
0.949892,0.907202,0.5,38,33
0.44299,0.325253,0.5,7,7
0.820748,0.940584,0.5,31,24
0.637791,0.981335,0.5,10,10
0.919675,0.778336,0.5,37,32
0.579851,0.391871,0.5,12,7
0.822089,0.509401,0.5,18,15
0.94294,0.75285,0.5,29,19
0.830218,0.745024,0.5,32,24
0.461357,0.962618,0.5,2,2
0.897763,0.821734,0.5,42,34
0.877214,0.451514,0.5,19,14
0.699058,0.689763,0.5,20,18
0.39511,0.654435,0.5,5,3
0.673375,0.656131,0.5,15,8
0.591115,0.64895,0.5,10,9
0.702393,0.394363,0.5,14,11
0.968827,0.965432,0.5,42,36
0.572817,0.562964,0.5,11,11
0.497521,0.905454,0.5,3,2
0.597192,0.539515,0.5,13,12
0.530094,0.204268,0.5,13,10
0.699502,0.263901,0.5,13,12
0.92799,0.482585,0.5,16,15
0.735971,0.540679,0.5,20,17
0.621829,0.390336,0.5,10,7
0.703199,0.206696,0.5,12,12
0.887683,0.584866,0.5,21,16
0.81408,0.323727,0.5,17,12
0.66342,0.870045,0.5,12,11
0.60236,0.53375,0.5,9,8
0.616745,0.600066,0.5,16,12
0.610817,0.297767,0.5,14,10
0.555978,0.471127,0.5,10,9
0.662559,0.978916,0.5,13,10
0.385082,0.329952,0.5,6,5
0.464805,0.420169,0.5,10,9
0.405896,0.651218,0.5,5,5
0.73733,0.291154,0.5,10,9
0.346785,0.681661,0.5,1,1
0.69472,0.288254,0.5,10,9
0.544203,0.796449,0.5,6,5
0.378688,0.958715,0.5,2,1
0.516489,0.755074,0.5,4,3
0.653462,0.596549,0.5,7,6
0.545729,0.532678,0.5,7,7
0.82465,0.727682,0.5,22,18
0.54955,0.209385,0.5,12,8
0.627533,0.208602,0.5,8,5
0.483494,0.50985,0.5,10,7
0.466856,0.62402,0.5,4,3
0.415265,0.909523,0.5,1,1
0.595658,0.674953,0.5,10,8
0.675851,0.356852,0.5,12,11
0.316641,0.670253,0.5,3,2
0.289964,0.910337,0.5,0,0
0.640568,0.678808,0.5,11,8
0.470207,0.409274,0.5,5,4
0.682366,0.424374,0.5,8,6
0.778078,0.577337,0.5,19,16
0.761698,0.977889,0.5,25,22
0.398636,0.462166,0.5,4,4
0.691645,0.392543,0.5,10,8
0.711405,0.574974,0.5,15,14
0.510804,0.973806,0.5,1,1
0.589711,0.4271,0.5,12,8
0.806426,0.718081,0.5,21,15
0.619208,0.626516,0.5,10,8
0.368045,0.833597,0.5,2,1
0.592251,0.964084,0.5,3,2
0.553339,0.277923,0.5,12,8
0.901555,0.475617,0.5,13,8
0.541184,0.494953,0.5,7,7
0.643238,0.571087,0.5,12,12
0.575091,0.368786,0.5,11,8
0.688873,0.516943,0.5,12,9
0.468965,0.674984,0.5,4,3
0.614431,0.771849,0.5,9,9
0.470904,0.724603,0.5,1,0
0.460186,0.443827,0.5,8,6
0.620559,0.266043,0.5,9,6
0.300727,0.716331,0.5,1,1
0.609708,0.838318,0.5,3,3
0.357363,0.277831,0.5,14,14
0.754011,0.402326,0.5,13,12
0.413826,0.882417,0.5,2,2
0.562119,0.33601,0.5,12,10
0.366098,0.378633,0.5,5,2
0.624258,0.937785,0.5,6,5
0.794335,0.617648,0.5,23,18
0.649282,0.336234,0.5,15,12
0.692341,0.309764,0.5,24,21
0.575131,0.472724,0.5,5,4
0.852938,0.309481,0.5,20,20
0.703878,0.790015,0.5,21,18
0.709289,0.964077,0.5,21,19
0.550616,0.549302,0.5,6,5
0.413689,0.707143,0.5,1,1
0.71213,0.843467,0.5,16,15
0.712723,0.560868,0.5,18,13
0.876239,0.909938,0.5,30,23
0.434822,0.650526,0.5,4,3
0.799926,0.567182,0.5,14,11
0.497505,0.809596,0.5,1,1
0.81581,0.356576,0.5,17,15
0.572341,0.754279,0.5,7,7
0.506363,0.828008,0.5,3,2
0.515848,0.855358,0.5,1,1
0.549962,0.706571,0.5,8,7
0.485472,0.512412,0.5,7,6
0.476835,0.893456,0.5,6,5
0.732616,0.529008,0.5,12,11
0.785784,0.442675,0.5,19,16
0.864247,0.444882,0.5,18,17
0.549754,0.940756,0.5,7,7
0.396558,0.700796,0.5,1,0
0.50944,0.670015,0.5,5,5
0.404061,0.621894,0.5,1,1
0.343043,0.416393,0.5,7,6
0.684235,0.846323,0.5,14,11
0.338459,0.588641,0.5,0,0
0.590998,0.30073,0.5,10,9
0.649427,0.987384,0.5,20,15
0.782998,0.77046,0.5,29,22
0.493841,0.908507,0.5,8,4
0.580815,0.620028,0.5,7,5
0.458894,0.641611,0.5,7,5
0.478429,0.757479,0.5,7,6
0.456133,0.567463,0.5,4,4
0.619136,0.965127,0.5,14,13
0.668271,0.523076,0.5,11,10
0.573839,0.719742,0.5,10,10
0.644164,0.833953,0.5,7,6
0.582334,0.462673,0.5,11,9
0.606082,0.772679,0.5,13,11
0.480166,0.679711,0.5,7,6
0.751247,0.418772,0.5,14,14
0.588452,0.694112,0.5,8,6
0.748426,0.665939,0.5,14,8
0.368424,0.931687,0.5,0,0
0.615411,0.883259,0.5,6,4
0.470198,0.384351,0.5,10,9
0.393658,0.303508,0.5,7,5
0.655544,0.895828,0.5,16,13
0.70529,0.757743,0.5,12,12
0.852892,0.981498,0.5,37,26
0.619368,0.829103,0.5,9,6
0.7225,0.441755,0.5,17,17
0.477728,0.296045,0.5,10,5
0.405548,0.697576,0.5,1,1
0.647099,0.355732,0.5,13,8
0.343261,0.945091,0.5,2,2
0.660771,0.760169,0.5,15,12
0.567526,0.967463,0.5,9,7
0.5028,0.927417,0.5,3,3
0.580691,0.314949,0.5,8,4
0.673391,0.861912,0.5,16,15
0.326379,0.233149,0.5,6,5
0.722456,0.846123,0.5,17,15
0.454983,0.764502,0.5,1,1
0.556665,0.836924,0.5,8,6
0.456661,0.307528,0.5,10,6
0.662172,0.730164,0.5,15,13
0.644606,0.651855,0.5,3,2
0.359257,0.833539,0.5,0,0
0.749634,0.200083,0.5,12,10
0.710497,0.898071,0.5,18,16
0.810417,0.764819,0.5,21,20
0.587645,0.550147,0.5,11,11
0.809486,0.412313,0.5,11,9
0.531632,0.200784,0.5,9,7
0.711693,0.626255,0.5,14,12
0.515967,0.789899,0.5,8,6
0.625342,0.664378,0.5,16,15
0.481922,0.416951,0.5,7,5
0.602273,0.947011,0.5,4,2
0.4953,0.535838,0.5,7,6
0.803277,0.981394,0.5,33,27
0.725784,0.415082,0.5,11,10
0.458228,0.251894,0.5,8,7
0.515604,0.592367,0.5,9,8
0.581537,0.587552,0.5,12,12
0.554396,0.361591,0.5,15,13
0.338352,0.536213,0.5,3,0
0.672987,0.754009,0.5,15,13
0.722604,0.683008,0.5,18,17
0.751596,0.862646,0.5,19,19
0.818112,0.674428,0.5,13,7
0.603553,0.286002,0.5,13,8
0.627928,0.399784,0.5,10,8
0.437752,0.200525,0.5,7,6
0.707852,0.83608,0.5,15,11
0.58244,0.256322,0.5,9,6
0.386227,0.926483,0.5,0,0
0.614621,0.966202,0.5,15,11
0.541294,0.71007,0.5,10,7
0.68765,0.679768,0.5,10,10
0.662087,0.480386,0.5,11,10
0.453317,0.497043,0.5,6,3
0.507291,0.267276,0.5,6,3
0.834047,0.979884,0.5,29,23
0.563987,0.357218,0.5,9,8
0.532281,0.44756,0.5,11,10
0.713673,0.237956,0.5,13,8
0.373006,0.927616,0.5,2,2
0.823467,0.217474,0.5,9,8
0.963793,0.383388,0.5,26,22
0.496053,0.257736,0.5,11,10
0.461952,0.229216,0.5,8,6
0.587527,0.628822,0.5,7,6
0.654806,0.725744,0.5,12,11
0.580614,0.239456,0.5,15,12
0.462499,0.360373,0.5,6,6
0.495347,0.68496,0.5,5,3
0.69764,0.568922,0.5,7,6
0.525794,0.699872,0.5,6,6
0.65646,0.896391,0.5,13,12
0.588236,0.728956,0.5,7,5
0.748396,0.479906,0.5,13,13
0.631691,0.292329,0.5,16,14
0.559557,0.745185,0.5,4,4
0.669703,0.707025,0.5,15,13
0.632217,0.261914,0.5,5,5
0.645864,0.705552,0.5,15,13
0.560928,0.702573,0.5,8,6
0.870698,0.949503,0.5,39,30
0.296487,0.906648,0.5,1,1
0.464,0.884149,0.5,1,1
0.606344,0.403319,0.5,10,8
0.513962,0.419302,0.5,8,7
0.669834,0.684416,0.5,12,9
0.520874,0.49829,0.5,5,5
0.575212,0.868161,0.5,6,3
0.603047,0.889239,0.5,12,11
0.538774,0.63175,0.5,7,5
0.614994,0.708208,0.5,6,5
0.729705,0.554154,0.5,13,13
0.306449,0.610828,0.5,1,1
0.723805,0.445238,0.5,6,3
0.627477,0.798269,0.5,11,8
0.957293,0.936848,0.5,34,30
0.414747,0.366848,0.5,7,5
0.394843,0.990778,0.5,0,0
0.679064,0.649048,0.5,11,9
0.669065,0.344263,0.5,11,9
0.38757,0.480905,0.5,1,1
0.842396,0.478927,0.5,13,10
0.589246,0.306547,0.5,8,6
0.26614,0.406796,0.5,2,2
0.544157,0.894257,0.5,4,3
0.515074,0.503828,0.5,6,5
0.751967,0.557429,0.5,17,15
0.579408,0.296289,0.5,7,7
0.24753,0.985955,0.5,0,0
0.57942,0.761963,0.5,12,9
0.935255,0.368775,0.5,14,12
0.812247,0.258447,0.5,14,12
0.210901,0.724407,0.5,1,1
0.533752,0.776623,0.5,7,2
0.625567,0.548979,0.5,17,14
0.645782,0.246813,0.5,11,6
0.561211,0.878886,0.5,7,5
0.372581,0.94979,0.5,2,1
0.673021,0.972565,0.5,20,18
0.604977,0.953285,0.5,12,10
0.747211,0.866374,0.5,23,22
0.702002,0.671048,0.5,16,16
0.51142,0.511114,0.5,9,7
0.638921,0.865694,0.5,9,7
0.654326,0.706489,0.5,10,8
0.652479,0.770625,0.5,9,9
0.80475,0.719698,0.5,29,25
0.515398,0.717369,0.5,5,4
0.577489,0.495709,0.5,9,5
0.757747,0.836562,0.5,23,20
1,0.771298,0.5,36,31
0.665778,0.939526,0.5,18,17
0.385163,0.55541,0.5,7,5
0.553596,0.517911,0.5,10,7
0.684068,0.536944,0.5,12,9
0.699293,0.318387,0.5,16,14
0.568056,0.416814,0.5,8,7
0.738275,0.736094,0.5,14,11
0.765874,0.511181,0.5,14,12
0.655228,0.335749,0.5,14,13
0.505429,0.590793,0.5,9,6
0.927103,0.506832,0.5,33,24
0.69324,0.481929,0.5,10,8
0.50559,0.36211,0.5,12,9
0.605363,0.535981,0.5,11,8
0.529501,0.861559,0.5,2,1
0.49282,0.661248,0.5,1,1
0.962954,0.309445,0.5,19,17
0.410897,0.244966,0.5,8,5
0.640522,0.529766,0.5,12,10
0.609848,0.221771,0.5,14,12
0.377737,0.740931,0.5,3,2
0.742572,0.810832,0.5,29,23
0.348687,0.771568,0.5,0,0
0.553916,0.741897,0.5,1,0
0.700092,0.765787,0.5,19,16
0.294247,0.467767,0.5,4,4
0.857588,0.596191,0.5,21,15
0.476514,0.730909,0.5,2,1
0.854214,0.869997,0.5,33,30
0.383198,0.865354,0.5,0,0
0.627967,0.79483,0.5,12,9
0.735012,0.257352,0.5,11,7
0.357963,0.231626,0.5,8,5
0.866233,0.748186,0.5,27,20
0.291425,0.459407,0.5,4,3
0.365673,0.836702,0.5,1,1
0.737072,0.730268,0.5,20,16
0.821569,0.466442,0.5,20,16
0.762316,0.395731,0.5,11,9
0.52799,0.522424,0.5,10,8
0.439168,0.858696,0.5,3,3
0.790676,0.794147,0.5,17,15
0.674911,0.64287,0.5,14,13
0.350968,0.288827,0.5,4,4
0.625251,0.371122,0.5,6,5
0.763864,0.534535,0.5,16,12
0.568317,0.76181,0.5,11,11
0.76755,0.527394,0.5,13,10
0.496859,0.917499,0.5,5,5
0.381256,0.401183,0.5,4,3
0.34477,0.853814,0.5,2,2
0.78238,0.783532,0.5,21,17
0.546911,0.46755,0.5,10,9
0.777792,0.779225,0.5,25,22
0.664783,0.818593,0.5,16,13
0.57705,0.543831,0.5,8,7
0.705882,0.975969,0.5,23,20
0.329075,0.656488,0.5,3,3
0.521098,0.872183,0.5,7,5
0.633639,0.645141,0.5,13,11
0.73599,0.835901,0.5,23,21
0.536079,0.98736,0.5,8,8
0.73359,0.288577,0.5,17,13
0.555891,0.256815,0.5,9,7
0.409596,0.681481,0.5,4,4
